species	specieskey	year	month	countrycode	occurrences
Turdus merula	2490719	2022	12	FR	1638
Garrulus glandarius	5229493	2019	3	DE	511
Ardea cinerea	9797180	2017	10	FR	306
Regulus ignicapilla	6093527	2024	12	DE	175
Serinus serinus	2494200	2016	4	DE	132
Poecile palustris	2487843	2023	12	FR	353
Certhia brachydactyla	7806848	2018	4	FR	346
Acrocephalus palustris	2493136	2017	6	FR	39
Erithacus rubecula	2492462	2018	9	DE	363
Saxicola rubicola	4408759	2023	7	FR	337
Alectoris graeca	2474055	2024	6	FR	18
Garrulus glandarius	5229493	2021	6	FR	449
Larus marinus	2481172	2020	12	FR	74
Turdus viscivorus	2490774	2022	7	FR	244
Podiceps cristatus	2482054	2020	6	DE	407
Pyrrhula pyrrhula	2494543	2024	5	DE	482
Carduelis carduelis	2494686	2018	2	DE	123
Circus aeruginosus	2480482	2024	7	FR	210
Anas acuta	2498112	2021	1	FR	102
Linaria cannabina	8104397	2021	6	DE	404
Prunella modularis	5231763	2016	5	FR	184
Linaria cannabina	8104397	2017	2	FR	91
Hydrocoloeus minutus	6065841	2023	8	DE	47
Microcarbo pygmaeus	10095118	2019	11	DE	3
Tachybaptus ruficollis	2482048	2018	12	DE	165
Bubulcus ibis	2480830	2023	12	FR	225
Cygnus cygnus	2498347	2021	12	DE	164
Passer montanus	5231198	2024	11	DE	420
Tringa nebularia	2481726	2024	9	FR	277
Recurvirostra avosetta	2480259	2018	9	FR	65
Pernis apivorus	2480420	2022	7	FR	169
Lymnocryptes minimus	2481835	2023	10	DE	81
Branta leucopsis	5232464	2022	1	DE	246
Bubo bubo	5959092	2023	3	FR	20
Pluvialis squatarola	2480327	2023	9	FR	170
Pluvialis apricaria	2480332	2022	3	FR	39
Turdus viscivorus	2490774	2021	11	DE	150
Tadorna tadorna	2498009	2020	5	FR	163
Acrocephalus scirpaceus	2493118	2021	7	FR	211
Scolopax rusticola	2481700	2024	5	DE	107
Mergus merganser	9537647	2022	10	FR	34
Aix galericulata	2498388	2023	8	DE	81
Uria aalge	2481342	2022	5	FR	21
Loxia curvirostra	9629160	2021	12	DE	22
Tadorna ferruginea	2498015	2017	5	DE	43
Calidris pugnax	8250742	2021	2	FR	16
Tringa nebularia	2481726	2019	12	FR	18
Sylvia borin	2492942	2020	9	DE	27
Periparus ater	2487871	2018	12	DE	45
Melanitta fusca	2498238	2017	1	DE	26
Branta leucopsis	5232464	2016	5	FR	11
Ichthyaetus melanocephalus	8151548	2016	11	FR	37
Riparia riparia	2489160	2022	10	DE	9
Tringa glareola	2481713	2018	8	DE	101
Delichon urbicum	2489214	2021	3	FR	39
Haliaeetus albicilla	2480449	2016	7	DE	19
Pyrrhocorax graculus	2482553	2024	4	DE	13
Merops apiaster	2475443	2020	6	FR	125
Psittacula eupatria	5229055	2022	6	DE	13
Emberiza cirlus	7626513	2019	5	DE	10
Locustella luscinioides	2493551	2017	8	FR	3
Aythya ferina	2498255	2021	10	FR	109
Linaria flavirostris	7668711	2020	10	DE	39
Certhia familiaris	2487603	2022	11	FR	30
Tyto alba	2497921	2018	3	FR	13
Circus pygargus	2480495	2021	9	FR	11
Chroicocephalus genei	6065810	2017	4	FR	35
Psittacula eupatria	5229055	2020	11	DE	6
Sylvia curruca	2492960	2016	9	DE	3
Coturnix coturnix	2474156	2019	7	DE	18
Botaurus stellaris	2480910	2023	10	DE	9
